[Sat Mar 11 08:59:59.783745 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57951] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 09:00:59.785740 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57958] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 09:01:59.783752 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57962] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 09:02:59.774770 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57966] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 09:03:59.769106 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57968] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 09:04:59.783554 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57970] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 09:05:59.783437 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57972] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 09:06:59.755661 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57974] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 09:07:59.762671 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57982] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 09:08:59.784153 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57985] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 09:09:59.782195 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57987] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 09:10:59.759692 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57989] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 09:11:59.754775 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57991] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 09:12:59.796698 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57996] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
